Class,Incident#,Crime,Date/Time,Location Name,Address,Agency
Burglary - Commercial,24064480,Theft From Bldg,04/03/2024 03:30 PM,Residence/home,"37xx Prominence Pkwy, Denton, Tx 76208",Denton Police Department (Tx)
Burglary - Commercial,24064479,Theft From Bldg,04/03/2024 05:12 AM,Residence/home,"7xx Hickory St, Denton, Tx 76201",Denton Police Department (Tx)
Burglary - Commercial,24063478,Theft From Bldg,04/02/2024 06:55 PM,Residence/home,"1xx Precision Dr, Denton, Tx 76207",Denton Police Department (Tx)
Burglary - Commercial,24060608,Theft From Bldg,03/30/2024 01:00 AM,Specialty Store,"20xx Fort Worth Dr, Denton, Tx 76205",Denton Police Department (Tx)
Burglary - Commercial,24062984,Theft From Bldg,03/29/2024 02:00 PM,Residence/home,"13xx Scripture St, Denton, Tx 76201",Denton Police Department (Tx)
Burglary - Commercial,24059770,Theft From Bldg,03/23/2024 02:05 PM,Residence/home,"34xx Nottingham Dr, Denton, Tx 76209",Denton Police Department (Tx)
Burglary - Commercial,24048728,Theft From Bldg,03/11/2024 11:00 PM,Residence/home,"30xx Locust St, Denton, Tx 76207",Denton Police Department (Tx)
Burglary - Commercial,24041704,Theft From Bldg,02/29/2024 02:00 PM,Service/gas Station,"3xx Eagle Dr, Denton, Tx 76201",Denton Police Department (Tx)
Burglary - Commercial,24039041,Theft From Bldg,02/26/2024 07:00 AM,Residence/home,"5xx Texas St, Denton, Tx 76209",Denton Police Department (Tx)
Burglary - Residential,24072792,Burglary/b&e,04/16/2024 05:30 AM,Residence/home,"9xx Duncan St, Denton, Tx 76205",Denton Police Department (Tx)
Burglary - Residential,24072329,Burglary/b&e,04/16/2024 03:15 AM,Residence/home,"12xx Oak Vly, Denton, Tx 76209",Denton Police Department (Tx)
Burglary - Residential,24072071,Burglary/b&e,04/15/2024 11:30 AM,Residence/home,"21xx Spencer Rd, Denton, Tx 76205",Denton Police Department (Tx)
Burglary - Residential,24071633,Burglary/b&e,04/15/2024 02:10 AM,Drug Store/doctors Office/hospital,"16xx Scripture St, Denton, Tx 76201",Denton Police Department (Tx)
Burglary - Residential,24070034,Burglary/b&e,04/10/2024 05:00 PM,Residence/home,"15xx Ave, Denton, Tx 76205",Denton Police Department (Tx)
Burglary - Residential,24066169,Burglary/b&e,04/07/2024 02:45 AM,Residence/home,"18xx Williamsburg Row, Denton, Tx 76209",Denton Police Department (Tx)
Burglary - Residential,24066325,Burglary/b&e,04/07/2024 12:00 AM,Residence/home,"18xx Sena St, Denton, Tx 76201",Denton Police Department (Tx)
Burglary - Residential,24066843,Burglary/b&e,04/05/2024 06:00 PM,Residence/home,"6xx Pace Dr, Denton, Tx 76209",Denton Police Department (Tx)
Burglary - Residential,24062361,Burglary/b&e,04/01/2024 09:38 AM,Residence/home,"1xx Precision Dr, Denton, Tx 76207",Denton Police Department (Tx)
Burglary - Residential,24061021,Burglary/b&e,03/30/2024 07:34 PM,Residence/home,"66xx Grissom Rd, Denton, Tx 76208",Denton Police Department (Tx)
Burglary - Residential,24061570,Burglary/b&e,03/30/2024 12:30 AM,Residence/home,"33xx Meadowlark Ln, Denton, Tx 76209",Denton Police Department (Tx)
Burglary - Residential,24060546,Burglary/b&e,03/29/2024 10:46 AM,Residence/home,"28xx Joshua St, Denton, Tx 76209",Denton Police Department (Tx)
Burglary - Residential,24054314,Burglary/b&e,03/20/2024 11:07 PM,Residence/home,"17xx Sam Bass Blvd, Denton, Tx 76205",Denton Police Department (Tx)
Burglary - Residential,24052483,Burglary/b&e,03/18/2024 08:30 AM,Specialty Store,"25xx Prairie St, Denton, Tx 76201",Denton Police Department (Tx)
Burglary - Residential,24054089,Burglary/b&e,03/17/2024 12:00 AM,Residence/home,"8xx Sycamore St, Denton, Tx 76201",Denton Police Department (Tx)
Burglary - Residential,24073016,Burglary/b&e,03/13/2024 06:00 AM,Residence/home,"21xx Spencer Rd, Denton, Tx 76205",Denton Police Department (Tx)
Burglary - Residential,24048704,Burglary/b&e,03/12/2024 06:32 PM,Residence/home,"14xx Fox Hollow St, Denton, Tx 76205",Denton Police Department (Tx)
Burglary - Residential,24047490,Burglary/b&e,03/11/2024 02:55 AM,Field/woods,"2xx Mayhill Rd, Denton, Tx 76209",Denton Police Department (Tx)
Burglary - Residential,24047282,Burglary/b&e,03/10/2024 12:58 PM,Specialty Store,"5209xx 35, Denton, Tx 76207",Denton Police Department (Tx)
Burglary - Residential,24045091,Burglary/b&e,03/07/2024 04:04 AM,Conv Store,"5xx Locust St, Denton, Tx 76201",Denton Police Department (Tx)
Burglary - Residential,24044444,Burglary/b&e,03/02/2024 07:29 PM,Service/gas Station,"8xx University Dr, Denton, Tx 76201",Denton Police Department (Tx)
Burglary - Residential,24044531,Burglary/b&e,03/02/2024 12:00 PM,Residence/home,"12xx Poinsettia Blvd, Denton, Tx 76208",Denton Police Department (Tx)
Burglary - Residential,24040452,Burglary/b&e,02/29/2024 07:54 PM,Highway/road/alley/street/sidewalk,"8xx Frame St, Denton, Tx 76209",Denton Police Department (Tx)
Burglary - Residential,24040426,Burglary/b&e,02/29/2024 04:13 AM,Residence/home,"18xx Oak St, Denton, Tx 76201",Denton Police Department (Tx)
Burglary - Residential,24037013,Burglary/b&e,02/25/2024 04:55 AM,Residence/home,"35xx Mckinney St, Denton, Tx 76209",Denton Police Department (Tx)
Burglary - Residential,24045364,Burglary/b&e,02/23/2024 12:00 AM,Residence/home,"22xx Bell Ave, Denton, Tx 76209",Denton Police Department (Tx)
Burglary from Motor Vehicle,24073052,Theft From Veh,04/17/2024 03:00 AM,Residence/home,"33xx Swisher Rd, Denton, Tx 78206",Denton Police Department (Tx)
Burglary from Motor Vehicle,24072603,Theft From Veh,04/16/2024 03:00 AM,Parking/drop Lot/garage,"28xx Colorado Blvd, Denton, Tx 76210",Denton Police Department (Tx)
Burglary from Motor Vehicle,24072644,Theft From Veh,04/15/2024 11:30 PM,Residence/home,"14xx Bernard St, Denton, Tx 76201",Denton Police Department (Tx)
Burglary from Motor Vehicle,24072634,Theft From Veh,04/15/2024 10:30 PM,Residence/home,"14xx Bernard St, Denton, Tx 76201",Denton Police Department (Tx)
Burglary from Motor Vehicle,24072536,Theft From Veh,04/15/2024 08:30 PM,Residence/home,"14xx Bernard St, Denton, Tx 76201",Denton Police Department (Tx)
Burglary from Motor Vehicle,24072675,Theft From Veh,04/15/2024 05:00 PM,Residence/home,"16xx Mckinney St, Denton, Tx 76209",Denton Police Department (Tx)
Burglary from Motor Vehicle,24071779,Theft From Veh,04/14/2024 12:00 AM,Highway/road/alley/street/sidewalk,"21xx Fairfax Rd, Denton, Tx 76205",Denton Police Department (Tx)
Burglary from Motor Vehicle,24070914,Theft From Veh,04/11/2024 08:50 PM,Parking/drop Lot/garage,"22xx Oak St, Denton, Tx 76201",Denton Police Department (Tx)
Burglary from Motor Vehicle,24069978,Theft From Veh,04/10/2024 10:00 PM,Residence/home,"1xx Ave, Denton, Tx 76201",Denton Police Department (Tx)
Burglary from Motor Vehicle,24068956,Theft From Veh,04/10/2024 12:00 AM,Parking/drop Lot/garage,"3xx Fry St, Denton, Tx 76201",Denton Police Department (Tx)
Burglary from Motor Vehicle,24067949,Theft From Veh,04/09/2024 05:21 PM,Parking/drop Lot/garage,"17xx Sam Bass Blvd, Denton, Tx 76205",Denton Police Department (Tx)
Burglary from Motor Vehicle,24067965,Theft From Veh,04/09/2024 04:30 PM,Drug Store/doctors Office/hospital,"19xx Brinker Rd, Denton, Tx 76208",Denton Police Department (Tx)
Burglary from Motor Vehicle,24067980,Theft From Veh,04/09/2024 01:30 PM,Parking/drop Lot/garage,"25xx Lillian B Miller Pkwy, Denton, Tx 76210",Denton Police Department (Tx)
Burglary from Motor Vehicle,24067886,Theft From Veh,04/09/2024 08:30 AM,Parking/drop Lot/garage,"9xx Masch Branch Rd, Denton, Tx 76207",Denton Police Department (Tx)
Burglary from Motor Vehicle,24067924,Theft From Veh,04/09/2024 12:00 AM,Parking/drop Lot/garage,"24xx Lillian B Miller Pkwy, Denton, Tx 76210",Denton Police Department (Tx)
Burglary from Motor Vehicle,24067364,Theft From Veh,04/08/2024 11:46 PM,Parking/drop Lot/garage,"15xx Meadow St, Denton, Tx 76205",Denton Police Department (Tx)
Burglary from Motor Vehicle,24068045,Theft From Veh,04/08/2024 11:00 PM,Parking/drop Lot/garage,"2xx Bonnie Brae St, Denton, Tx 76201",Denton Police Department (Tx)
Burglary from Motor Vehicle,24067487,Theft From Veh,04/08/2024 11:00 PM,Parking/drop Lot/garage,"2xx Bonnie Brae St, Denton, Tx 76201",Denton Police Department (Tx)
Burglary from Motor Vehicle,24067246,Theft From Veh,04/08/2024 12:00 PM,Parking/drop Lot/garage,"25xx Stockbridge Rd, Denton, Tx 76208",Denton Police Department (Tx)
Burglary from Motor Vehicle,24066890,Theft From Veh,04/08/2024 12:00 AM,Residence/home,"27xx Colorado Blvd, Denton, Tx 76210",Denton Police Department (Tx)
Burglary from Motor Vehicle,24066252,Theft From Veh,04/07/2024 02:00 AM,Parking/drop Lot/garage,"14xx University Dr, Denton, Tx 76209",Denton Police Department (Tx)
Burglary from Motor Vehicle,24065858,Theft From Veh,04/06/2024 04:45 PM,Parking/drop Lot/garage,"18xx Cornell Ln, Denton, Tx 76201",Denton Police Department (Tx)
Burglary from Motor Vehicle,24066818,Theft From Veh,04/06/2024 02:30 PM,Parking/drop Lot/garage,"4465xx 35, Denton, Tx 76207",Denton Police Department (Tx)
Burglary from Motor Vehicle,24069309,Theft From Veh,04/06/2024 12:15 PM,Residence/home,"5xx Londonderry Ln, Denton, Tx 76205",Denton Police Department (Tx)
Burglary from Motor Vehicle,24066510,Theft From Veh,04/05/2024 01:00 PM,Parking/drop Lot/garage,"2xx Bonnie Brae St, Denton, Tx 76201",Denton Police Department (Tx)
Burglary from Motor Vehicle,24064836,Theft From Veh,04/05/2024 04:37 AM,Residence/home,"40xx Hampton Rd, Denton, Tx 76207",Denton Police Department (Tx)
Burglary from Motor Vehicle,24064907,Theft From Veh,04/04/2024 11:00 PM,Parking/drop Lot/garage,"50xx Par Dr, Denton, Tx 76208",Denton Police Department (Tx)
Burglary from Motor Vehicle,24063990,Theft From Veh,04/04/2024 01:00 AM,Parking/drop Lot/garage,"52xx Par Dr, Denton, Tx 76208",Denton Police Department (Tx)
Burglary from Motor Vehicle,24062743,Theft From Veh,04/01/2024 11:00 PM,Parking/drop Lot/garage,"16xx Mckinney St, Denton, Tx 76209",Denton Police Department (Tx)
Burglary from Motor Vehicle,24062784,Theft From Veh,04/01/2024 11:00 PM,Parking/drop Lot/garage,"8xx Bell Ave, Denton, Tx 76209",Denton Police Department (Tx)
Burglary from Motor Vehicle,24062448,Theft From Veh,04/01/2024 09:50 PM,Parking/drop Lot/garage,"700xx 35, Denton, Tx 76205",Denton Police Department (Tx)
Burglary from Motor Vehicle,24062649,Theft From Veh,04/01/2024 08:30 PM,Parking/drop Lot/garage,"8xx Bell Ave, Denton, Tx 76209",Denton Police Department (Tx)
Burglary from Motor Vehicle,24062605,Theft From Veh,04/01/2024 07:00 PM,Parking/drop Lot/garage,"16xx Mckinney St, Denton, Tx 76209",Denton Police Department (Tx)
Burglary from Motor Vehicle,24062607,Theft From Veh,04/01/2024 03:00 PM,Parking/drop Lot/garage,"4xx Loop, Denton, Tx 76209",Denton Police Department (Tx)
Burglary from Motor Vehicle,24061854,Theft From Veh,03/31/2024 05:00 PM,Residence/home,"19xx Hickory St, Denton, Tx 76201",Denton Police Department (Tx)
Burglary from Motor Vehicle,24061777,Theft From Veh,03/31/2024 11:30 AM,Parking/drop Lot/garage,"11xx Bernard St, Denton, Tx 76201",Denton Police Department (Tx)
Burglary from Motor Vehicle,24061412,Theft From Veh,03/31/2024 02:15 AM,Residence/home,"27xx Westglen Dr, Denton, Tx 76207",Denton Police Department (Tx)
Burglary from Motor Vehicle,24061534,Theft From Veh,03/31/2024 01:00 AM,Parking/drop Lot/garage,"4xx Audra Ln, Denton, Tx 76209",Denton Police Department (Tx)
Burglary from Motor Vehicle,24061387,Theft From Veh,03/30/2024 09:05 PM,Parking/drop Lot/garage,"6xx Audra Ln, Denton, Tx 76209",Denton Police Department (Tx)
Burglary from Motor Vehicle,24062688,Theft From Veh,03/30/2024 12:00 PM,Residence/home,"3xx Jagoe St, Denton, Tx 76201",Denton Police Department (Tx)
Burglary from Motor Vehicle,24060868,Theft From Veh,03/29/2024 11:50 PM,Parking/drop Lot/garage,"13xx Oak St, Denton, Tx 76201",Denton Police Department (Tx)
Burglary from Motor Vehicle,24060892,Theft From Veh,03/29/2024 10:30 PM,Parking/drop Lot/garage,"9xx Bernard St, Denton, Tx 76201",Denton Police Department (Tx)
Burglary from Motor Vehicle,24061538,Theft From Veh,03/29/2024 10:30 PM,Parking/drop Lot/garage,"9xx Mulberry St, Denton, Tx 76201",Denton Police Department (Tx)
Burglary from Motor Vehicle,24060641,Theft From Veh,03/29/2024 10:00 PM,Parking/drop Lot/garage,"3xx Fry St, Denton, Tx 76201",Denton Police Department (Tx)
Burglary from Motor Vehicle,24060541,Theft From Veh,03/29/2024 09:30 PM,Parking/drop Lot/garage,"Mckinney St, Denton, Tx 76201",Denton Police Department (Tx)
Burglary from Motor Vehicle,24060513,Theft From Veh,03/29/2024 08:00 PM,Parking/drop Lot/garage,"2xx Bell Ave, Denton, Tx 76201",Denton Police Department (Tx)
Burglary from Motor Vehicle,24063003,Theft From Veh,03/29/2024 12:00 AM,Parking/drop Lot/garage,"6xx Hickory St, Denton, Tx 76205",Denton Police Department (Tx)
Burglary from Motor Vehicle,24060735,Theft From Veh,03/29/2024 12:00 AM,Parking/drop Lot/garage,"22xx Oak St, Denton, Tx 76201",Denton Police Department (Tx)
Burglary from Motor Vehicle,24059518,Theft From Veh,03/27/2024 09:00 PM,Residence/home,"35xx Mckinney St, Denton, Tx 76209",Denton Police Department (Tx)
Burglary from Motor Vehicle,24061580,Theft From Veh,03/27/2024 04:00 PM,Parking/drop Lot/garage,"12xx Oak St, Denton, Tx 76201",Denton Police Department (Tx)
Burglary from Motor Vehicle,24058670,Theft From Veh,03/27/2024 11:10 AM,Parking/drop Lot/garage,"1xx Mckinney St, Denton, Tx 76201",Denton Police Department (Tx)
Burglary from Motor Vehicle,24058002,Theft From Veh,03/25/2024 06:00 PM,Parking/drop Lot/garage,"17xx Sam Bass Blvd, Denton, Tx 76205",Denton Police Department (Tx)
Burglary from Motor Vehicle,24057158,Theft From Veh,03/25/2024 10:20 AM,Parking/drop Lot/garage,"1xx Heritage Ln, Denton, Tx 76209",Denton Police Department (Tx)
Burglary from Motor Vehicle,24057183,Theft From Veh,03/25/2024 07:30 AM,Parking/drop Lot/garage,"15xx Meadow St, Denton, Tx 76205",Denton Police Department (Tx)
Burglary from Motor Vehicle,24058953,Theft From Veh,03/25/2024 06:00 AM,Parking/drop Lot/garage,"34xx Joyce Ln, Denton, Tx 76207",Denton Police Department (Tx)
Burglary from Motor Vehicle,24057223,Theft From Veh,03/25/2024 04:00 AM,Parking/drop Lot/garage,"11xx Bell Ave, Denton, Tx 76209",Denton Police Department (Tx)
Burglary from Motor Vehicle,24057057,Theft From Veh,03/25/2024 02:45 AM,Parking/drop Lot/garage,"5xx Windsor Dr, Denton, Tx 76209",Denton Police Department (Tx)
Burglary from Motor Vehicle,24057110,Theft From Veh,03/24/2024 11:00 PM,Parking/drop Lot/garage,"2xx Coronado Dr, Denton, Tx 76209",Denton Police Department (Tx)
Burglary from Motor Vehicle,24056984,Theft From Veh,03/24/2024 10:30 PM,Parking/drop Lot/garage,"5xx Windsor Dr, Denton, Tx 76209",Denton Police Department (Tx)
Burglary from Motor Vehicle,24057073,Theft From Veh,03/24/2024 09:00 PM,Parking/drop Lot/garage,"1xx Prairie St, Denton, Tx 76201",Denton Police Department (Tx)
Burglary from Motor Vehicle,24057324,Theft From Veh,03/24/2024 07:00 PM,Parking/drop Lot/garage,"1xx Coronado Dr, Denton, Tx 76209",Denton Police Department (Tx)
Burglary from Motor Vehicle,24057152,Theft From Veh,03/24/2024 12:00 PM,Highway/road/alley/street/sidewalk,"9xx Collins St, Denton, Tx 76201",Denton Police Department (Tx)
Burglary from Motor Vehicle,24057135,Theft From Veh,03/24/2024 12:00 AM,Parking/drop Lot/garage,"20xx Elm St, Denton, Tx 76201",Denton Police Department (Tx)
Burglary from Motor Vehicle,24056485,Theft From Veh,03/23/2024 06:30 PM,Parking/drop Lot/garage,"18xx Teasley Ln, Denton, Tx 76205",Denton Police Department (Tx)
Burglary from Motor Vehicle,24056301,Theft From Veh,03/23/2024 05:30 PM,Parking/drop Lot/garage,"4xx Carroll Blvd, Denton, Tx 76201",Denton Police Department (Tx)
Burglary from Motor Vehicle,24056170,Theft From Veh,03/23/2024 12:00 PM,Highway/road/alley/street/sidewalk,"6xx Linwood Dr, Denton, Tx 76209",Denton Police Department (Tx)
Burglary from Motor Vehicle,24056013,Theft From Veh,03/23/2024 05:50 AM,Parking/drop Lot/garage,"5xx Driftwood Trl, Denton, Tx 76209",Denton Police Department (Tx)
Burglary from Motor Vehicle,24056057,Theft From Veh,03/23/2024 04:40 AM,Residence/home,"27xx Cordova Cir, Denton, Tx 76209",Denton Police Department (Tx)
Burglary from Motor Vehicle,24055942,Theft From Veh,03/23/2024 02:30 AM,Parking/drop Lot/garage,"24xx Mckinney St, Denton, Tx 76209",Denton Police Department (Tx)
Burglary from Motor Vehicle,24056052,Theft From Veh,03/23/2024 12:00 AM,Parking/drop Lot/garage,"500xx 35, Denton, Tx 76205",Denton Police Department (Tx)
Burglary from Motor Vehicle,24056125,Theft From Veh,03/22/2024 07:00 PM,Highway/road/alley/street/sidewalk,"7xx Driftwood Trl, Denton, Tx 76209",Denton Police Department (Tx)
Burglary from Motor Vehicle,24055953,Theft From Veh,03/21/2024 06:00 PM,Parking/drop Lot/garage,"24xx Mckinney St, Denton, Tx 76209",Denton Police Department (Tx)
