Incident Number w/year,Year of Incident,Call (911) Problem,Type of Incident,Type  Location,Type of Property,Reporting Area,Division,Sector,Year of Occurrence,Month of Occurence,Person Involvement Type,Victim Type,Victim Gender,UCR Disposition,Modus Operandi (MO),Weapon Used,NIBRS Crime,NIBRS Crime Category,NIBRS Crime Against,Zip Code,City,State
270941-2017,2023,09V - UUMV,UNAUTHORIZED USE OF MOTOR VEH - AUTOMOBILE,"Highway, Street, Alley ETC",Outdoor Area Public/Private,1055,NORTHEAST,240,2017,November,Victim,Individual,Female,Suspended,COMP LEFT VEH AT LISTED LOC AND RETURNED TO FIND IT STOLEN,Other,UUMV,MOTOR VEHICLE THEFT,PROPERTY,75238,DALLAS,TX
097663-2022,2023,09V-01 UUMV JUST OCRD,"THEFT OF PROP > OR EQUAL $2,500 <$30K (NOT SHOPLIFT) PC31.03(e4A)",Single Family Residence - Occupied,Other,4435,SOUTHEAST,350,2022,May,Victim,Individual,Male,Suspended,UNK SUSP TOOK COMPS PROP W/O CONSENT,Handgun,ALL OTHER LARCENY,LARCENY/ THEFT OFFENSES,PROPERTY,75253,DALLAS,TX
015577-2017,2023,09V - UUMV,UNAUTHORIZED USE OF MOTOR VEH - AUTOMOBILE,Parking Lot (All Others),Parking Lot,6012,NORTH CENTRAL,650,2017,January,Victim,Individual,Female,Suspended,UNK SUSP TOOK COMP'S VEHICLE WITHOUT PERMISSION/UUMV,Other,UUMV,MOTOR VEHICLE THEFT,PROPERTY,75225,DALLAS,TX
012324-2022,2023,20 - ROBBERY,ROBBERY OF INDIVIDUAL (AGG),Bar/NightClub/DanceHall ETC.,Other,1090,NORTHEAST,230,2022,January,Victim,Individual,Male,Suspended,SUSPS POINTED HANDGUNS AT COMP AND TOOK PROPERTY BY FORCE,Handgun,ROBBERY-INDIVIDUAL,ROBBERY,PROPERTY,75218,DALLAS,TX
228924-2021,2023,PSE/09 - THEFT,THEFT OF PROP (AUTO ACC) <$100 - (NOT EMP),Parking Lot (All Others),Motor Vehicle,2062,CENTRAL,130,2021,December,Victim,Individual,Female,Suspended,UNKNOWN SUSPECT REMOVED PROPERTY FROM THE LISTED VEHICLE,Handgun,THEFT OF MOTOR VEHICLE PARTS OR ACCESSORIES,LARCENY/ THEFT OFFENSES,PROPERTY,75201,DALLAS,TX
004880-2023,2023,11R/01 - BURG OF RES,BURGLARY OF HABITATION - FORCED ENTRY,Apartment Residence,Apartment Complex/Building,4527,NORTHEAST,210,2023,January,Victim,Individual,Male,Suspended,UNKNOWN SUSPS TOOK LISTED PORPERTY WITHOUT CONSENT,Handgun,BURGLARY-RESIDENCE,BURGLARY/ BREAKING & ENTERING,PROPERTY,75231,DALLAS,TX
251329-2018,2023,09V - UUMV,UNAUTHORIZED USE OF MOTOR VEH - TRUCK OR BUS,Outdoor Area Public/Private,Outdoor Area Public/Private,4364,SOUTH CENTRAL,740,2018,November,Victim,Individual,Male,Suspended,UNKNOWN SUSPECT TOOK COMP VEHICLE WITHOUT CONSENT,Handgun,UUMV,MOTOR VEHICLE THEFT,PROPERTY,75232,DALLAS,TX
030967-2023,2023,PSE/09 - THEFT,THEFT OF PROP > OR EQUAL $100 <$750 (NOT SHOPLIFT) PC31.03(e2A),Apartment Complex/Building,Residential Property Occupied/Vacant,1027,NORTH CENTRAL,640,2023,February,Victim,Individual,Female,Suspended,UNK SUSPECT STOLE PACKAGE FROM APARTMENT MAILROOM W/O CONSENT,Handgun,ALL OTHER LARCENY,LARCENY/ THEFT OFFENSES,PROPERTY,75251,DALLAS,TX
022655-2017,2023,09V - UUMV,UNAUTHORIZED USE OF MOTOR VEH - AUTOMOBILE,Parking Lot (All Others),Medical Facility,2072,CENTRAL,130,2017,January,Victim,Individual,Female,Suspended,UNK SUSP TOOK COMP'S VEHICLE W/O PERMISSION,Other,UUMV,MOTOR VEHICLE THEFT,PROPERTY,75202,DALLAS,TX
109499-2017,2023,09V - UUMV,UNAUTHORIZED USE OF MOTOR VEH - AUTOMOBILE,Parking Lot (Apartment),Motor Vehicle,2009,CENTRAL,150,2017,May,Victim,Individual,Male,Suspended,UNK SUSP TOOK COMPS VEHICLE WITHOUT CONSENT,Other,UUMV,MOTOR VEHICLE THEFT,PROPERTY,75204,DALLAS,TX
