Complaint_Date,Closure_Date,Received_By,Complaints_Num,Officers_Inolved_Num,Allegations_Made_Num,Allegations_Made
2/28/2023 5:00:00 AM,Open,CRB,1,1,1,Excessive Force
2/28/2023 5:00:00 AM,Open,CRB,1,1,1,Excessive Force
3/1/2023 05:00:00,10/5/2023,CRB,1,1,1,Excessive Force
3/10/2023 05:00:00,Open,CRB,1,1,1,Fail to Act
3/17/2023 4:00:00 AM,3/1/2024,CRB,1,1,1,Fail To Act
3/17/2023 4:00:00 AM,Open,SPD,1,1,1,Excessive Force
4/13/2023 4:00:00 AM,10/4/2023,SPD,1,1,1,Demeanor
5/19/2023 4:00:00 AM,Open,CRB,1,2,2,False Arrest
5/23/2023 4:00:00 AM,11/20/2023,SPD,1,0,0,Other
6/15/2023 4:00:00 AM,3/1/2024,CRB,1,2,2,Harassment
6/15/2023 4:00:00 AM,Open,CRB,1,1,1,Harassment
6/20/2023 4:00:00 AM,Open,CRB,1,1,1,Fail to Act
6/25/2023 4:00:00 AM,Open,CRB,1,2,2,Excessive Force
6/27/2023 4:00:00 AM,Open,CRB,1,2,2,Excessive Force
6/29/2023 4:00:00 AM,Open,CRB,1,2,2,Harassment
7/3/2023 04:00:00,Open,SPD,1,1,1,False Arrest
7/3/2023 04:00:00,Open,SPD,1,4,4,Other
7/3/2023 04:00:00,Open,SPD,1,1,1,Unlawful Arrest
7/5/2023 04:00:00,1/9/2024,CRB,1,1,1,Fail to Act
7/24/2023 4:00:00 AM,Open,CRB,1,2,2,Excessive Force
8/4/2023 04:00:00,Open,CRB,1,2,2,Demeanor
7/25/2023 4:00:00 AM,10/9/2023,CRB,1,1,1,Fail To act
8/7/2023 04:00:00,Open,CRB,1,1,1,Harassment
8/8/2023 04:00:00,Open,CRB,1,1,1,Harassment
8/10/2023 04:00:00,Open,CRB,1,1,1,Excessive Force
8/22/2023 4:00:00 AM,Open,CRB,1,1,1,Unlawful Arrest
8/28/2023 4:00:00 AM,Open,CRB,1,1,1,Demeanor
9/19/2023 4:00:00 AM,Open,CRb,1,2,2,Fail to Act
9/21/2023 4:00:00 AM,Open,SPD,1,2,2,Policy Violation
10/10/2023 04:00:00,Open,CRB,1,2,2,Fail to Act
9/29/2023 4:00:00 AM,Open,AG,1,1,1,Other
10/18/2023 4:00:00 AM,3/15/2024,CRB,1,1,1,Fail to Act
10/18/2023 4:00:00 AM,Open,CRB,1,1,1,Demeanor
10/27/2023 4:00:00 AM,Open,CRB,1,1,1,Fail to Act
11/8/2023 05:00:00,Open,CRB,1,2,2,Demeanor
11/8/2023 05:00:00,Open,CRB,1,1,1,Fail to Act
11/10/2023 05:00:00,Open,CRB,1,2,2,Policy Violation
11/10/2023 05:00:00,3/22/2024,AG,1,1,1,Demeanor
11/13/2023 5:00:00 AM,Open,CRB,1,1,1,Fail to Act
11/13/2023 5:00:00 AM,Open,CRB,1,2,2,Other
11/16/2023 5:00:00 AM,Open,SPD,1,2,2,Fail to Act
11/16/2023 5:00:00 AM,Open,CRB,1,1,1,False Arrest
11/16/2023 5:00:00 AM,Open,CRB,1,2,2,Excessive Force
11/20/2023 5:00:00 AM,Open,CRB,1,1,1,Demenaor
11/20/2023 5:00:00 AM,Open,CRB,1,2,2,Fail to Act
11/21/2023 5:00:00 AM,Open,CRB,1,2,2,Policy Violation
11/27/2023 5:00:00 AM,Open,CRB,1,1,1,Demenaor
11/30/2023 5:00:00 AM,Open,CRB,1,1,1,Demeanor
12/14/2023 5:00:00 AM,Open,CRB,1,1,1,Harassment
12/18/2023 5:00:00 AM,Open,CRB,1,1,1,Harassment
